v1-identity-saveStudent | callable
v1-identity-saveTeacher | callable
v1-identity-saveTenant | callable
v1-identity-saveTenantFeatures | callable
v1-identity-saveTenantSettings | callable
v1-identity-searchUsers | callable
v1-identity-sendDirectMessage | callable
v1-identity-sendPasswordReset | callable
v1-identity-setUserStatus | callable
v1-identity-startImpersonation | callable
v1-identity-switchActiveTenant | callable
v1-identity-tenantLifecycleCheck | scheduled
v1-identity-unregisterDeviceToken | callable
v1-identity-updateMyProfile | callable
v1-identity-uploadTenantAsset | callable
v1-identity-uploadUserAsset | callable
v1-levelup-assignContent | callable
v1-levelup-cleanupStaleSessions | scheduled
v1-levelup-dismissInsight | callable
v1-levelup-evaluateAnswer | callable
v1-levelup-expireTestSessions | scheduled
v1-levelup-generateContent | callable
v1-levelup-getChatSession | callable
v1-levelup-getGamificationSummary | callable
v1-levelup-getItemForEdit | callable
v1-levelup-getLeaderboard | callable
v1-levelup-getSpace | callable
v1-levelup-getSpaceProgress | callable
v1-levelup-getStoreSpace | callable
v1-levelup-getStoryPoint | callable
v1-levelup-getStoryPointProgress | callable
v1-levelup-getStudentLevel | callable
v1-levelup-getTestSession | callable
v1-levelup-importFromBank | callable
v1-levelup-listAchievements | callable
v1-levelup-listAgents | callable
v1-levelup-listChatSessions | callable
v1-levelup-listItems | callable
v1-levelup-listLearningInsights | callable
v1-levelup-listQuestionBank | callable
v1-levelup-listRubricPresets | callable
v1-levelup-listSpaceProgressForUser | callable
v1-levelup-listSpaceReviews | callable
v1-levelup-listSpaces | callable
v1-levelup-listStoreSpaces | callable
v1-levelup-listStoryPoints | callable
v1-levelup-listStudentAchievements | callable
v1-levelup-listStudyGoals | callable
v1-levelup-listStudySessions | callable
v1-levelup-listTestSessions | callable
v1-levelup-listVersions | callable
v1-levelup-markAchievementsSeen | callable
v1-levelup-purchaseSpace | callable
v1-levelup-recordItemAttempt | callable
v1-levelup-saveAchievementDefinition | callable
v1-levelup-saveAgent | callable
v1-levelup-saveItem | callable
v1-levelup-saveQuestionBankItem | callable
v1-levelup-saveRubricPreset | callable
v1-levelup-saveSpace | callable
v1-levelup-saveSpaceReview | callable
v1-levelup-saveStoryPoint | callable
v1-levelup-saveStudyGoal | callable
v1-levelup-saveTestAnswer | callable
v1-levelup-sendChatMessage | callable
v1-levelup-startTestSession | callable
v1-levelup-submitTestSession | callable
onUserCreated | providers/firebase.auth/eventTypes/user.create
onUserDeleted | providers/firebase.auth/eventTypes/user.delete
